,name,brand,price,img,id,features,place,year,age,outcome,Cluster
1856,Rolls Royce Cullinan 6.75 V12 - 2020,Rolls,1642817,https://bonbanh.com.vn/uploads/users/502964/car/3526252/s_1605673941.419.jpg,3526252,"Rolls-Royce Cullinan là khối động cơ V-12 6.75L tăng áp kép, sản sinh công suất 563 mã lực, mô-men xoắn 850 Nm ngay từ vòng tua 1.600 vòng/phút.
Khả năng tăng tốc từ 0-100 km/h không ...",TP HCM,2020,59,1645239,3
1857,Rolls Royce Cullinan 6.75 V12 - 2020,Rolls,1642817,https://bonbanh.com.vn/uploads/users/502964/car/3526252/s_1605673941.419.jpg,3526252,"Rolls-Royce Cullinan là khối động cơ V-12 6.75L tăng áp kép, sản sinh công suất 563 mã lực, mô-men xoắn 850 Nm ngay từ vòng tua 1.600 vòng/phút.
Khả năng tăng tốc từ 0-100 km/h không ...",TP HCM,2020,36,1647421,3
1858,Rolls Royce Cullinan 6.75 V12 - 2020,Rolls,1642817,https://bonbanh.com.vn/uploads/users/502964/car/3526252/s_1605673941.419.jpg,3526252,"Rolls-Royce Cullinan là khối động cơ V-12 6.75L tăng áp kép, sản sinh công suất 563 mã lực, mô-men xoắn 850 Nm ngay từ vòng tua 1.600 vòng/phút.
Khả năng tăng tốc từ 0-100 km/h không ...",TP HCM,2020,64,1644140,3
3352,Bentley Continental GT V8 - 2020,Bentley,769530,https://bonbanh.com.vn/uploads/users/527847/car/3439759/s_1601035081.519.jpeg,3439759,"BENTLEY GT 4.0 2020 New 100% siêu phẩm 2 cánh model mới nhất, Hàng có sẵn giao ngay .
Động cơ của Bentley Continental GT V8 thế hệ mới là ""trái tim"" V8, dung tích 4.0 lít, 32 van, được ...",Hà Nội,2020,59,770873,1
3353,Bentley Continental GT V8 - 2020,Bentley,769530,https://bonbanh.com.vn/uploads/users/527847/car/3439759/s_1601035081.519.jpeg,3439759,"BENTLEY GT 4.0 2020 New 100% siêu phẩm 2 cánh model mới nhất, Hàng có sẵn giao ngay .
Động cơ của Bentley Continental GT V8 thế hệ mới là ""trái tim"" V8, dung tích 4.0 lít, 32 van, được ...",Hà Nội,2020,51,774258,1
3354,Bentley Continental GT V8 - 2020,Bentley,769530,https://bonbanh.com.vn/uploads/users/527847/car/3439759/s_1601035081.519.jpeg,3439759,"BENTLEY GT 4.0 2020 New 100% siêu phẩm 2 cánh model mới nhất, Hàng có sẵn giao ngay .
Động cơ của Bentley Continental GT V8 thế hệ mới là ""trái tim"" V8, dung tích 4.0 lít, 32 van, được ...",Hà Nội,2020,69,771302,1
3355,Bentley Continental GT V8 - 2020,Bentley,769530,https://bonbanh.com.vn/uploads/users/527847/car/3439759/s_1601035081.519.jpeg,3439759,"BENTLEY GT 4.0 2020 New 100% siêu phẩm 2 cánh model mới nhất, Hàng có sẵn giao ngay .
Động cơ của Bentley Continental GT V8 thế hệ mới là ""trái tim"" V8, dung tích 4.0 lít, 32 van, được ...",Hà Nội,2020,31,770774,1
3356,Bentley Continental GT V8 - 2020,Bentley,769530,https://bonbanh.com.vn/uploads/users/527847/car/3439759/s_1601035081.519.jpeg,3439759,"BENTLEY GT 4.0 2020 New 100% siêu phẩm 2 cánh model mới nhất, Hàng có sẵn giao ngay .
Động cơ của Bentley Continental GT V8 thế hệ mới là ""trái tim"" V8, dung tích 4.0 lít, 32 van, được ...",Hà Nội,2020,41,774108,1
3357,Bentley Continental GT V8 - 2020,Bentley,769530,https://bonbanh.com.vn/uploads/users/527847/car/3439759/s_1601035081.519.jpeg,3439759,"BENTLEY GT 4.0 2020 New 100% siêu phẩm 2 cánh model mới nhất, Hàng có sẵn giao ngay .
Động cơ của Bentley Continental GT V8 thế hệ mới là ""trái tim"" V8, dung tích 4.0 lít, 32 van, được ...",Hà Nội,2020,40,771082,1
3358,Bentley Continental GT V8 - 2020,Bentley,769530,https://bonbanh.com.vn/uploads/users/527847/car/3439759/s_1601035081.519.jpeg,3439759,"BENTLEY GT 4.0 2020 New 100% siêu phẩm 2 cánh model mới nhất, Hàng có sẵn giao ngay .
Động cơ của Bentley Continental GT V8 thế hệ mới là ""trái tim"" V8, dung tích 4.0 lít, 32 van, được ...",Hà Nội,2020,39,771221,1
